# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Forest tundra	49	9.78125	0.31322	0.02554	0.81924	0.02462	0.00716	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.24704	0.03222	0.00819	0.75296	0.03222	0.00819	0.26050	0.03581	0.00864	0.75208	0.18684	0.02554
Shrub tundra	119	9.22368	0.49073	0.03594	0.78943	0.02015	0.00728	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.29226	0.02483	0.00808	0.70774	0.02483	0.00808	0.30906	0.02776	0.00855	0.87105	0.11262	0.03594
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Forest tundra	49	153452	480	361	0.23525	9.79989	0.34518	0.00150	0.99943	0.00018	0.00003	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00077	0.00029	0.00004	0.99923	0.00029	0.00004	0.00081	0.00032	0.00005	0.00235	0.00235	0.00150
Shrub tundra	119	117758	380	331	0.28108	9.14481	0.56930	0.00220	0.99932	0.00021	0.00004	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00094	0.00035	0.00005	0.99906	0.00035	0.00005	0.00100	0.00040	0.00006	0.00281	0.00280	0.00220
