# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Forest tundra	18	22.57389	0.88282	0.03559	0.82790	0.01975	0.00532	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.24553	0.02634	0.00615	0.75447	0.02634	0.00615	0.25110	0.02755	0.00629	0.85653	0.12306	0.03559
Shrub tundra	100	21.20195	0.59536	0.03114	0.77755	0.01393	0.00476	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.31812	0.01616	0.00513	0.68188	0.01616	0.00513	0.32582	0.01695	0.00525	0.97068	0.02850	0.03114
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Forest tundra	18	142292	697	597	0.41956	22.55907	1.20556	0.00291	0.99916	0.00024	0.00004	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00120	0.00042	0.00005	0.99880	0.00042	0.00005	0.00123	0.00044	0.00006	0.00420	0.00418	0.00291
Shrub tundra	100	122657	614	596	0.48591	21.22488	0.86196	0.00265	0.99889	0.00032	0.00005	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00159	0.00058	0.00007	0.99841	0.00058	0.00007	0.00163	0.00061	0.00007	0.00486	0.00484	0.00265
