# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Forest_tundra	13	31.87578	2.90155	0.07751	0.70109	0.02592	0.00733	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.36739	0.02276	0.00686	0.63261	0.02276	0.00686	0.37326	0.02349	0.00697	0.96066	0.03787	0.07751
Shrub_tundra	19	29.99760	2.15144	0.07183	0.68804	0.02185	0.00724	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.38568	0.01922	0.00679	0.61432	0.01922	0.00679	0.39222	0.01987	0.00690	0.96882	0.03028	0.07183
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Forest_tundra	13	131175	483	464	0.35373	32.14118	2.64495	0.00449	0.99890	0.00042	0.00006	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00135	0.00058	0.00007	0.99865	0.00058	0.00007	0.00137	0.00060	0.00007	0.00354	0.00352	0.00449
Shrub_tundra	19	128152	417	404	0.31525	31.44711	2.23353	0.00417	0.99898	0.00039	0.00005	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00125	0.00054	0.00007	0.99875	0.00054	0.00007	0.00128	0.00056	0.00007	0.00315	0.00314	0.00417
